forecast_date,target_date,forecast_1day,forecast_5day,actual_1day,actual_5day
2025-04-10,2025-04-14,22.050086411949362,21.796489201915193,20.67,21.93
2025-04-11,2025-04-15,22.050086411949362,21.796489201915193,21.21,23.15
2025-04-12,2025-04-16,22.050086411949362,21.796489201915193,22.85,22.04
2025-04-13,2025-04-17,22.050086411949362,21.796489201915193,23.18,22.59
2025-04-14,2025-04-18,22.050086411949362,21.796489201915193,21.93,22.67
2025-04-15,2025-04-19,22.050086411949362,21.796489201915193,23.15,23.34
2025-04-16,2025-04-20,22.050086411949362,21.796489201915193,22.04,22.78
2025-04-17,2025-04-21,22.050086411949362,21.796489201915193,22.59,22.57
2025-04-18,2025-04-22,22.050086411949362,21.796489201915193,22.67,22.51
2025-04-19,2025-04-23,22.050086411949362,21.796489201915193,23.34,22.5
2025-04-20,2025-04-24,22.050086411949362,21.796489201915193,22.78,21.05
2025-04-21,2025-04-25,22.050086411949362,21.796489201915193,22.57,21.87
2025-04-22,2025-04-26,22.050086411949362,21.796489201915193,22.51,23.67
2025-04-23,2025-04-27,22.050086411949362,21.796489201915193,22.5,22.75
2025-04-24,2025-04-28,22.050086411949362,21.796489201915193,21.05,23.48
2025-04-25,2025-04-29,22.050086411949362,21.796489201915193,21.87,22.02
2025-04-26,2025-04-30,22.050086411949362,21.796489201915193,23.67,22.81
2025-04-27,2025-05-01,22.050086411949362,21.796489201915193,22.75,21.64
2025-04-28,2025-05-02,22.050086411949362,21.796489201915193,23.48,22.73
2025-04-29,2025-05-03,22.050086411949362,21.796489201915193,22.02,21.3
2025-04-30,2025-05-04,22.336342390792243,22.129902653176913,22.81,22.34
2025-05-01,2025-05-05,22.336342390792243,22.129902653176913,21.64,21.49
2025-05-02,2025-05-06,22.336342390792243,22.129902653176913,22.73,22.79
2025-05-03,2025-05-07,22.336342390792243,22.129902653176913,21.3,23.33
2025-05-04,2025-05-08,22.336342390792243,22.129902653176913,22.34,22.18
2025-05-05,2025-05-09,22.336342390792243,22.129902653176913,21.49,22.37
2025-05-06,2025-05-10,22.336342390792243,22.129902653176913,22.79,22.26
2025-05-07,2025-05-11,22.336342390792243,22.129902653176913,23.33,23.27
2025-05-08,2025-05-12,22.336342390792243,22.129902653176913,22.18,22.91
