forecast_date,target_date,forecast_1day,forecast_5day,actual_1day,actual_5day
2025-04-10,2025-04-14,145.1839500778357,144.66978609218484,148.85,146.06
2025-04-11,2025-04-15,145.1839500778357,144.66978609218484,147.8,145.76
2025-04-12,2025-04-16,145.1839500778357,144.66978609218484,149.22,148.49
2025-04-13,2025-04-17,145.1839500778357,144.66978609218484,143.5,148.75
2025-04-14,2025-04-18,145.1839500778357,144.66978609218484,146.06,151.52
2025-04-15,2025-04-19,145.1839500778357,144.66978609218484,145.76,148.34
2025-04-16,2025-04-20,145.1839500778357,144.66978609218484,148.49,152.79
2025-04-17,2025-04-21,145.1839500778357,144.66978609218484,148.75,146.38
2025-04-18,2025-04-22,145.1839500778357,144.66978609218484,151.52,151.69
2025-04-19,2025-04-23,145.1839500778357,144.66978609218484,148.34,147.79
2025-04-20,2025-04-24,145.1839500778357,144.66978609218484,152.79,150.27
2025-04-21,2025-04-25,145.1839500778357,144.66978609218484,146.38,147.17
2025-04-22,2025-04-26,145.1839500778357,144.66978609218484,151.69,150.98
2025-04-23,2025-04-27,145.1839500778357,144.66978609218484,147.79,143.7
2025-04-24,2025-04-28,145.1839500778357,144.66978609218484,150.27,149.57
2025-04-25,2025-04-29,145.1839500778357,144.66978609218484,147.17,147.34
2025-04-26,2025-04-30,145.1839500778357,144.66978609218484,150.98,148.25
2025-04-27,2025-05-01,145.1839500778357,144.66978609218484,143.7,147.54
2025-04-28,2025-05-02,145.1839500778357,144.66978609218484,149.57,149.34
2025-04-29,2025-05-03,145.1839500778357,144.66978609218484,147.34,145.27
2025-04-30,2025-05-04,147.05784746319813,146.2211124144553,148.25,150.61
2025-05-01,2025-05-05,147.05784746319813,146.2211124144553,147.54,147.8
2025-05-02,2025-05-06,147.05784746319813,146.2211124144553,149.34,149.45
2025-05-03,2025-05-07,147.05784746319813,146.2211124144553,145.27,150.29
2025-05-04,2025-05-08,147.05784746319813,146.2211124144553,150.61,142.25
2025-05-05,2025-05-09,147.05784746319813,146.2211124144553,147.8,148.0
2025-05-06,2025-05-10,147.05784746319813,146.2211124144553,149.45,146.25
2025-05-07,2025-05-11,147.05784746319813,146.2211124144553,150.29,143.69
2025-05-08,2025-05-12,147.05784746319813,146.2211124144553,142.25,144.24
2025-05-09,2025-05-13,147.05784746319813,146.2211124144553,148.0,151.17
2025-05-10,2025-05-14,147.05784746319813,146.2211124144553,146.25,147.3
2025-05-11,2025-05-15,147.05784746319813,146.2211124144553,143.69,146.12
2025-05-12,2025-05-16,147.05784746319813,146.2211124144553,144.24,144.9
2025-05-13,2025-05-17,147.05784746319813,146.2211124144553,151.17,143.89
2025-05-14,2025-05-18,147.05784746319813,146.2211124144553,147.3,146.42
2025-05-15,2025-05-19,147.05784746319813,146.2211124144553,146.12,146.57
2025-05-16,2025-05-20,147.05784746319813,146.2211124144553,144.9,149.74
